Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
write_SC,428,30,7864320,2359296,5,750,128
shuffle_SC,1002,30,7864320,2359296,5,750,128
read_SC,1297,30,7864320,2359296,5,750,128
collect_SC,184,30,7864320,2359296,5,750,128
spill_SC,1602,30,7864320,2359296,5,750,128
merge_SC,11,30,7864320,2359296,5,750,128
read_SC,1341,30,7864320,2359296,5,750,128
collect_SC,160,30,7864320,2359296,5,750,128
spill_SC,1532,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
read_SC,1396,30,7864320,2359296,5,750,128
collect_SC,174,30,7864320,2359296,5,750,128
spill_SC,1520,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
read_SC,1347,30,7864320,2359296,5,750,128
collect_SC,160,30,7864320,2359296,5,750,128
spill_SC,1665,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
read_SC,1435,30,7864320,2359296,5,750,128
collect_SC,179,30,7864320,2359296,5,750,128
spill_SC,1495,30,7864320,2359296,5,750,128
merge_SC,10,30,7864320,2359296,5,750,128
read_SC,1407,30,7864320,2359296,5,750,128
collect_SC,151,30,7864320,2359296,5,750,128
spill_SC,1613,30,7864320,2359296,5,750,128
merge_SC,8,30,7864320,2359296,5,750,128
write_SC,454,30,7864320,2359296,5,750,128
shuffle_SC,998,30,7864320,2359296,5,750,128
write_SC,412,30,7864320,2359296,5,750,128
shuffle_SC,1012,30,7864320,2359296,5,750,128
write_SC,457,30,7864320,2359296,5,750,128
shuffle_SC,1000,30,7864320,2359296,5,750,128
write_SC,437,30,7864320,2359296,5,750,128
shuffle_SC,1025,30,7864320,2359296,5,750,128
write_SC,412,30,7864320,2359296,5,750,128
shuffle_SC,1020,30,7864320,2359296,5,750,128
write_SC,408,30,7864320,2359296,5,750,128
shuffle_SC,1020,30,7864320,2359296,5,750,128
read_SC,1352,40,7864320,3145728,5,750,128
collect_SC,236,40,7864320,3145728,5,750,128
spill_SC,2103,40,7864320,3145728,5,750,128
merge_SC,9,40,7864320,3145728,5,750,128
read_SC,1409,40,7864320,3145728,5,750,128
collect_SC,234,40,7864320,3145728,5,750,128
spill_SC,2042,40,7864320,3145728,5,750,128
merge_SC,9,40,7864320,3145728,5,750,128
read_SC,1393,40,7864320,3145728,5,750,128
collect_SC,239,40,7864320,3145728,5,750,128
spill_SC,2050,40,7864320,3145728,5,750,128
merge_SC,9,40,7864320,3145728,5,750,128
read_SC,1306,40,7864320,3145728,5,750,128
