Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize,BlockSize
write_SC,2329,20,10737418,2147483,8,1024,128
shuffle_SC,4646,20,10737418,2147483,8,1024,128
read_SC,1359,30,10737418,3221225,8,1024,128
collect_SC,124,30,10737418,3221225,8,1024,128
spill_SC,963,30,10737418,3221225,8,1024,128
merge_SC,8,30,10737418,3221225,8,1024,128
write_SC,2911,30,10737418,3221225,8,1024,128
shuffle_SC,4232,30,10737418,3221225,8,1024,128
read_SC,1279,30,10737418,3221225,8,1024,128
collect_SC,123,30,10737418,3221225,8,1024,128
spill_SC,861,30,10737418,3221225,8,1024,128
merge_SC,11,30,10737418,3221225,8,1024,128
read_SC,1101,30,10737418,3221225,8,1024,128
collect_SC,150,30,10737418,3221225,8,1024,128
spill_SC,903,30,10737418,3221225,8,1024,128
merge_SC,8,30,10737418,3221225,8,1024,128
read_SC,1145,30,10737418,3221225,8,1024,128
collect_SC,136,30,10737418,3221225,8,1024,128
spill_SC,1015,30,10737418,3221225,8,1024,128
merge_SC,10,30,10737418,3221225,8,1024,128
read_SC,959,30,10737418,3221225,8,1024,128
collect_SC,132,30,10737418,3221225,8,1024,128
spill_SC,794,30,10737418,3221225,8,1024,128
merge_SC,8,30,10737418,3221225,8,1024,128
read_SC,1038,30,10737418,3221225,8,1024,128
collect_SC,135,30,10737418,3221225,8,1024,128
spill_SC,773,30,10737418,3221225,8,1024,128
merge_SC,13,30,10737418,3221225,8,1024,128
read_SC,1172,30,10737418,3221225,8,1024,128
collect_SC,127,30,10737418,3221225,8,1024,128
spill_SC,900,30,10737418,3221225,8,1024,128
merge_SC,10,30,10737418,3221225,8,1024,128
read_SC,1717,30,10737418,3221225,8,1024,128
collect_SC,164,30,10737418,3221225,8,1024,128
spill_SC,855,30,10737418,3221225,8,1024,128
merge_SC,8,30,10737418,3221225,8,1024,128
read_SC,1267,40,10737418,4294967,8,1024,128
collect_SC,162,40,10737418,4294967,8,1024,128
spill_SC,1195,40,10737418,4294967,8,1024,128
merge_SC,10,40,10737418,4294967,8,1024,128
read_SC,1332,40,10737418,4294967,8,1024,128
collect_SC,223,40,10737418,4294967,8,1024,128
spill_SC,1157,40,10737418,4294967,8,1024,128
merge_SC,11,40,10737418,4294967,8,1024,128
read_SC,1209,40,10737418,4294967,8,1024,128
collect_SC,182,40,10737418,4294967,8,1024,128
spill_SC,1295,40,10737418,4294967,8,1024,128
merge_SC,12,40,10737418,4294967,8,1024,128
read_SC,1001,40,10737418,4294967,8,1024,128
collect_SC,171,40,10737418,4294967,8,1024,128
spill_SC,1052,40,10737418,4294967,8,1024,128
merge_SC,8,40,10737418,4294967,8,1024,128
read_SC,1035,40,10737418,4294967,8,1024,128
collect_SC,166,40,10737418,4294967,8,1024,128
spill_SC,1016,40,10737418,4294967,8,1024,128
merge_SC,8,40,10737418,4294967,8,1024,128
read_SC,1041,40,10737418,4294967,8,1024,128
